character,line
Astarion,"Ha! No, my love, I'm not jealous of the walking encyclopaedia."
Astarion,"Ha! No, my love, you and Shadowheart can get up to whatever you want. It means nothing to me."
Astarion,"Serious or not, it's something."
Astarion,I'm sure it'll be adequate.
Astarion,It's easy for some. I see Lae'zel's marked you as her territory.
Astarion,I'm just looking for a little more excitement. A little more fun.
Astarion,Forgiveness? You've never forgiven anything.
Astarion,"Every mistake, every slip was punished!"
Astarion,"No! No, fuck you and fuck everything you've ever done to me."
Astarion,Are you looking forward to seeing his 'Blade of Frontiers'? I hope it's more greatsword than dagger.
Astarion,"It's easy for some, of course. You and Karlach seem to be getting on very well."
Astarion,"It's none of my business, of course. I wouldn't want to intrude."
Astarion,Bravo! I didn't think you had it in you.
Astarion,Do you think Wyll would approve? I saw how he looked at you earlier.
Astarion,Do you think Karlach would approve? I saw how she looked at you earlier.
Astarion,Do you think Gale would approve? I saw how he looked at you earlier.
Astarion,Do you think Shadowheart would approve? I saw how she looked at you earlier.
Astarion,Do you think Lae'zel would approve? I saw how she looked at you earlier.
Astarion,"Not at all! I was hoping for companionship and - well, maybe a little death. Figuratively speaking."
Astarion,"Nothing so dramatic. Just you and me and - well, maybe a little death? Figuratively speaking."
Astarion,"Anyway, don't let me keep you. I'm sure you have someone else to sniff around. "
Astarion,You son of a bitch!
Astarion,"I mean, can you imagine? Urgh. No."
Astarion,"Watch, maybe, but never intrude."
Astarion,"Not least of whom is our friend, the new Grand Duke."
Astarion,Let's be quick.
Astarion,Crack it open.
Astarion,Make it quick.
Astarion,"We will need to be careful, of course. There are still powerful forces in the city."
Astarion,"Oh, darling. I love the way you think."
Astarion,Just be grateful that my ears can't bleed.
Astarion,"Not with you, just to be clear."
Astarion,Urgh... argh...
Astarion,"That's what you think, you son of a bitch!"
Astarion,No! Stop him! And get me out of this!
Astarion,"I'll be here, waiting for the sunrise."
Astarion,"By all means, go and enjoy yourself."
Astarion,But what do I get for all my hard work? A pat on the head and vinegar for wine.
Astarion,We killed some goblins to save some tieflings. The tally of lives didn't change much.
Astarion,I hate it. This is awful.
Astarion,Never thought I'd be the one they toast for saving so many lives. And now that I'm here...
Astarion,"You know, I never pictured myself as a hero."
Astarion,"So I can see from all your heavily-armed friends. You didn't think I could resist completing the ritual, did you?"
Astarion,I am here to take my rightful place. I'm going to ascend.
Astarion,Thank you. And for what it's worth - I'm sorry. I wish I could return the ones I took from you.
Astarion,"Cazador may be gone, but there are still thousands of vampire spawn down there."
Astarion,While they're distracted.
Astarion,"My darling, of course! I want nothing more."
Astarion,"Just full of surprises, aren't you?"
Astarion,"Cazador may be gone, but there are still thousands of vampire spawn down there. Including your children."
Astarion,Really? I'm hurt.
Astarion,Out of my way. I'm in no mood to talk.
Astarion,They were innocents. To kill them would have been an even greater crime.
Astarion,"Oh please, there's no need for such language. I promised you Cazador's death and I more than delivered."
Astarion,"No, I wouldn't want to get in the middle of whatever that is. We'll end tonight as friends."
Astarion,Soon you'll be begging for your life.
Astarion,I'm an angel of vengeance. That's what you made me.
Astarion,I don't need anyone to speak for me.
Astarion,"But until the moment's right, we can still be together. We can still taste all the delights of this world."
Astarion,Picking under pressure.
Astarion,Not the best timing.
Astarion,No! Shut up!
Astarion,I don't owe you a damn thing.
Astarion,I'm here to stop you and this cursed ritual.
Astarion,What is this? Why are the others in chains?
Astarion,"We're finishing this ritual. But I'm taking the power, not you."
Astarion,I've soared without you. I've walked in the sunlight.
Astarion,No. I'm not some goat to sacrifice in your ritual.
Astarion,What is this? What are you doing to them?
Astarion,It's time for you to die.
Astarion,"Resist his blood magic. Without allies, it's all over if he takes control of you."
Astarion,Force your body to resist - don't let him control you.
Astarion,"Give in, let him control you."
Astarion,And if I do join them?
Astarion,You can't kill all these people. I won't let you.
Astarion,I've been free of your rules. I've tasted the blood of thinking creatures.
Astarion,"Oh? And bring him where, exactly?"
Astarion,"Well, that'd certainly spice up this evening."
Astarion,"All right, but don't take too long. You're not the only tasty morsel around here."
Astarion,"True, he has a lot of power at his fingertips. He could be a threat."
Astarion,"True, she could be a threat."
Astarion,My love. You always know the right thing to say.
Astarion,I wonder...
Astarion,"Perhaps we'll even meet again someday. The future is yet to be written, after all."
Astarion,As for you... I wish you well. I'm sure you'll land on your feet.
Astarion,Stab him.
Astarion,You saved me to create a pawn you could use! I should kill you for that alone.
Astarion,Don't mind if I do.
Astarion,I'll just help myself.
Astarion,I don't need you - I don't need anyone. I already have everything I want.
Astarion,"You stupid, ungrateful, little- Fine. Fine! To hells with you, I'll take Baldur's Gate myself."
Astarion,Seems it won't take 'no' for an answer.
Astarion,"Well well, it likes you. Whatever the hells it is."
Astarion,Excuse me? You want to leave - now? At my moment of triumph? Have you lost your mind?!
Astarion,"How lucky you are that I chose you as my consort. Chose you to help me take Baldur's Gate, then sit by my side as I rule it."
Astarion,"Yes, please."
Astarion,"True, if he ever branches out from fighting the Infernal, he'd be a formidable threat."
Astarion,"The Absolute may be gone, but others will rise against us. Maybe even our old allies."
Astarion,We may need a purge or two. Just to secure our position.
Astarion,Tell me how to complete the ritual and I might spare you.
Astarion,Don't you tell me what I needed!
Astarion,"All you had to do was stand there! But no, even that was too much much to ask."
Astarion,"I was so close. I could have had it all, but you took everything from me."
Astarion,Cazador won after all. I'll never escape the hell he built.
Astarion,"And if I can't escape, then no one can. Not them..."
Astarion,And certainly not you.
Astarion,Don't you dare! I CAN FEEL THEIR POWER FLOWING INTO ME!
Astarion,"But if I complete the ritual, think of the power I'll have. With me by your side, we can save the city - we can save ourselves!"
Astarion,Stop bleeding - it's distracting.
Astarion,"Trust me, I know what I'm doing."
Astarion,Maybe they will. Maybe they won't. Maybe it doesn't matter.
Astarion,He's not wrong. There's always going to be a part of him in me.
Astarion,Pull him from the coffin.
Astarion,Tell me how to complete the ritual.
Astarion,Stab him without a word.
Astarion,I'm waiting to hear you beg for your life.
Astarion,Oblivion can be arranged.
Astarion,All right. You can live.
Astarion,Get over here. We can do this.
Astarion,We'll fix what we can.
Astarion,Stab him without another word.
Astarion,Then tell me how to complete the ritual.
Astarion,Then do! Slake your thirst.
Astarion,Use the staff to destroy the prisoners.
Astarion,Use the staff to set the prisoners free.
Astarion,Destroy the staff so they can never escape.
Astarion,They're not my concern.
Astarion,I simply do not care.
Astarion,That depends. Can you swear to me you won't feed on mortals?
Astarion,You don't have to eat rats. Feast on a lion or a dragon - just not people.
Astarion,"Do what you like, it's none of my concern."
Astarion,Start killing people and I'll stop you. Just like I stopped Cazador.
Astarion,Try to remember the runes on your back and carve them into Cazador's flesh.
Astarion,Just kill him.
Astarion,Give him his wish - kill him.
Astarion,Walk away.
Astarion,And here I mistook you for someone with taste. A pity.
Astarion,"You know, we could always make our own entertainment, darling. Get a little closer, so to speak."
Astarion,Don't be so sour. I like a good time as much as anyone.
Astarion,Never listen to your second thoughts. They always spoil the fun.
Astarion,"Do what you like, but you're dealing with the consequences."
Astarion,"Let's wait until things quieten down. Once the others are asleep, we'll find each other. "
Astarion,"You can try, but I will stop you. Just like I stopped Cazador."
Astarion,What do you want it to mean?
Astarion,Then you can bear my runes and be sacrificed in my place.
Astarion,Try not to die.
Astarion,You're leaking.
Astarion,You owe me.
Astarion,"The tadpole is gone, which means your future is mine to decide."
Astarion,"Hahaha! Don't be stupid, darling. You're mine, remember?"
Astarion,Just when I thought I couldn't love you any more.
Astarion,Looks like your toy has other ideas. I think you're stuck with it.
Astarion,Don't. People ask questions when bodies start appearing.
Astarion,Perhaps it needs a magic word? Try 'please'. Or 'sledgehammer'.
Astarion,Enter your companion's mind and see the scars through their eyes.
Astarion,Carve the symbols into his back.
Astarion,Begin the ritual.
Astarion,This feels incredible. I'm a new person.
Astarion,Bow before the greatest vampire the Sword Coast has ever seen!
Astarion,"It doesn't feel much different, honestly."
Astarion,Kill Cazador and abandon the ritual.
Astarion,It means you're free - you can do whatever you want.
Astarion,What a pretty thing. I imagine it's dangerous - most pretty things are.
Astarion,"Yes, yes, fine. It's just - specific. Why not kill the gnolls or goblins rampaging around here?"
Astarion,"Let's go, we've wasted enough time talking."
Astarion,That bad.
Astarion,"Ah, travelling far and wide, seeing all this world has to offer. A fine life indeed."
Astarion,"I admit, since my ascension it's been a charmed existence. Everything I ever wanted is right at my fingertips."
Astarion,"We've already had one heart-to-heart - best to leave it at that, don't you think? I'm not sure I can manage another bout of sentimentality."
Astarion,"You're not done already, surely?"
Astarion,"You can't want to go already. Enjoy tonight, celebrate with our sweet friends."
Astarion,"And when you're done, we can get back to enjoying forever together."
Astarion,"We have eternity for chit-chat, my love - the others only get you for tonight. I can't keep you all to myself."
Astarion,Power and prestige? Hail the Grand Duke indeed.
Astarion,Grand Duke Ravengard!
Astarion,People are fickle beasts. What makes you think they'll welcome you as their protector? 
Astarion,You think the city will welcome you as grand duke? Horns and all?
Astarion,You're joking. Please tell me you're joking.
Astarion,It's time to exterminate them. To cleanse my city of their filth.
Astarion,"Now that I can enjoy the sun without needing their parasite, the mind flayers serve no further purpose."
Astarion,My dark forces are at your command today. We have a common goal.
Astarion,What do you think you're doing? 
Astarion,What are you doing?! Stop it!
Astarion,"A soul after my own heart! Assuming you have any soul left, of course."
Astarion,"But I am glad to see you're living life to the fullest. We deserve nothing less, you and I."
Astarion,"Gods, really? Well, if that's what tickles you, I suppose."
Astarion,Into the shadows.
Astarion,"Alas, not every deal with a devil works out as well as it did for me."
Astarion,"Oh, that is excellent! I had hoped you would cause a little chaos down there. And some carnage to boot by the sounds of it."
Astarion,"Well, it sounds very enjoyable to me, so I trust you're having a darling time. "
Astarion,"Well, I shall be sure to let you know if I spot any."
Astarion,"Thankfully we're just two good friends, reminiscing and enjoying life."
Astarion,"The Blade of Frontiers, famed for protecting the weak and slaying monsters. I hope you don't think either will be necessary tonight."
Astarion,"Please, when have I ever behaved?"
Astarion,"Ha! Oh no, my boy. I haven't felt weak in a long, long time."
Astarion,She must be at camp. I think she was getting a little too hot under the collar.
Astarion,The feeling is very mutual. Even if I was laughing behind your back.
Astarion,My murderous little friend! What have you been up to? Fallen back into old habits?
Astarion,"Well, that's a relief. I didn't want to ruin a perfectly good evening by having to kill you."
Astarion,Never mind a perfectly good set of clothes. This cloth stains at the slightest drop of blood. It's awful.
Astarion,"Ah, a sensible pastime indeed. You must tell me all about it sometime. I'm sure I'd find it fascinating. "
Astarion,"Ah, a mutual interest! You must tell me all about it sometime - if only to make sure our plans don't clash."
Astarion,My first and oldest friend. The last six months have been kind to you.
Astarion,"A blessing, no less? Well isn't that just darling?"
Astarion,"A pity that you let the real blessing slip through your fingers, of course. Though we all make mistakes."
Astarion,But I am glad you came - and I genuinely mean that. An evening like this would not be the same without you.
Astarion,Hold on - we're a body short. Where's Karlach?
Astarion,My children! What a beautiful sight.
Astarion,Strange... I miss him. More than I thought I would. 
Astarion,I suppose we'd better honour Gale - perhaps there's a library somewhere that has a bar and a room full of virgins.
Astarion,Leave no trace.
Astarion,On the hunt.
Astarion,"I suppose we'd better honour Gale, - perhaps there's a library somewhere that has a bar... "
Astarion,"Do they? Well, there must be something to it, then."
Astarion,Now they see me...
Astarion,"By all means, go and live however you wish. As long as we don't get in each other's way, I'm sure all will be well."
Astarion,"At this point, you've earned it. Just don't start any grand designs, and I'm sure we'll all stay friends."
Astarion,I suppose you're right. We've been through enough.
Astarion,It's not so bad in the dark. Only about half of the Baldurian sewers are active.<br>
Astarion,"The Underdark? Now that's a thought. Just not to the Drow - they don't treat pretty boys too kindly. Or any boys at all, really."
Astarion,The Underdark is a popular option. Just try to avoid the vampire spawn - I can't promise they'll be as friendly as yours truly. 
Astarion,Yes! We should see if the Elfsong's still standing. It's been so long since I've had a fine wine. And we have more than earned it.
Astarion,"Yes! We should see if the Elfsong's still standing. I won't imbibe, but I'll be happy to be away from here, and in your company. "
Astarion,"I honestly don't mind what we do, once we get - ow!"
Astarion,What the - oh no. Oh gods.
Astarion,Well... it was nice while it lasted.
Astarion,"Argh! I'm sorry, I - I have to go!"
Astarion,"You are braver than I could ever dream to be. I hope we will meet again, on a cloudy night."
Astarion,"The Blade of Avernus, fresh from the Hells. And how are you enjoying your infernal crusade?"
Astarion,You - what? Now? After all this?!
Astarion,Now there's a sight to see. Not that I'll miss them... No offence.
Astarion,"Of course, it did cost us a wizard. But - well, it was his choice."
Astarion,"Of course, it did cost us a wizard. Poor Gale."
Astarion,"The tadpole - I can't feel it anymore. And here I was worried I'd become some grotesque, deformed beast."
Astarion,"The tadpole - I can't feel it anymore. Thanks to that bomb of his, I'm not going to turn into a mind flayer!"
Astarion,"The tadpole - I can't feel it anymore. Thanks to that bomb of his, we're not going to turn into mind flayers!"
Astarion,The wizard did it... he really did it. He blew up the brain. 
Astarion,"And here I was worried I'd become some grotesque, deformed beast."
Astarion,And I didn't even have to turn into a mind flayer to do it!
Astarion,"Speaking of githyanki, will you be joining them, Lae'zel?"
Astarion,And we didn't even have to turn into mind flayers to do it!
Astarion,And I'm still standing in the sun. This is incredible! Maybe whatever it changed in me was permanent?
Astarion,Ha! Victory! Our enemies are dust at our feet.
Astarion,I - I can't feel the tadpole. It's gone - we're free!
Astarion,"No, stop you fool!"
Astarion,"Lae'zel, don't - Stop!"
Astarion,Well that's a pleasant sight. Here's hoping they stay in their own plane.
Astarion,"Speaking of the Astral Plane - aren't you going to join them, Lae'zel? "
Astarion,Now there's a sight to see. Not that I'll miss them.
Astarion,We're free of that stupid parasite. And I'm free to enjoy all the power Cazador left me.
Astarion,"Although I suppose there is a lot to do here - power to consolidate, a palace to claim. It will take time."
Astarion,"Well no, I have had a busy schedule. I've been mixing with Baldur's Gate highest society, after all. Making connections, gaining influence - finding my place in this beautiful city of yours."
Astarion,"People like us cannot just put on and cast aside the trappings of power. We're special, you and I."
Astarion,Suit yourself. Sweet dreams.
Astarion,The pleasure is all mine. Sweet dreams.
Astarion,You rest. I'll keep watch.
Astarion,You sleep. I'll keep watch.
Astarion,I need some time to think things through. To process this.
Astarion,I'll be awake awhile yet. Today has been a lot.
Astarion,I'm in no place to rest yet. Today has been a lot.
Astarion,Curling up in the dirt and resting is... a little novel.
Astarion,"The night normally means bustling streets, bursting taverns."
Astarion,"No, I'm more than happy to put my feet up. I'm just not used to this."
Astarion,"It's all a little new to me, I admit."
Astarion,"I suppose. I'm not sure what I expected, really. This is all a little new."
Astarion,"So, we're resting here? Turning in for the night?"
Astarion,Shadowheart seems jumpy. Must not relish the thought of sprouting tentacles.
Astarion,Your gith friend seems on edge. Mustn't relish the thought of sprouting tentacles. 
Astarion,Do you mind? I'm brooding.
Astarion,Your magician seems dour tonight. Must not relish the idea of sprouting tentacles.
Astarion,"You know, if you want to spend time with me you only have to say so."
Astarion,But suit yourself. I'm sure we'll drift off at some point.
Astarion,"Ah, no - tea isn't really my drink."
Astarion,I'll be awake awhile anyway. I need some time to think things through. To process this.
Astarion,Indeed you did - I'll make sure the plebs of this city know who they should thank for their continued existence.
Astarion,Baldur's Gate will never forget it. And neither will I.
Astarion,Really? Good gods.
Astarion,Good! You should always be comfortable in your own skin. Even if that skin is new and... glistening.
Astarion,Behold my tears.
Astarion,Apologies. I just got swept up in - well - surviving.
Astarion,"I would say no offence meant, but... well. Look at you."
Astarion,"Oh, eh - sorry. I didn't mean to... well, you know."
Astarion,Understandable. Can't say I'm a fan either. It's just hard to join in when all of this feels so new.
Astarion,"You may be mortal, but you look... well, happy. And you wear it rather well."
Astarion,"Or... projected? Honestly, if I'd known this was an option, I would have stayed at home too."
Astarion,"Oh yes, the war! Forgive me, it slipped my mind entirely."
Astarion,"It's good to see you too. A pity we can't share a drink, it's been too long, darling."
Astarion,"I have been rather busy, you see. I'm now a man of power and influence - it doesn't leave much time for indulging in treats like this."
Astarion,Well... Maybe a little. But I'm not complaining - anything that means I get to see my old friends again.
Astarion,"I wasn't sure you'd want to stay on our humble plane. You haven't gone native, have you?"
Astarion,"Oh, been indulging your appetite, have you? So have I, as it happens."
Astarion,"You should visit some time. Now that I'm a man of influence, I'm sure we could satisfy any cravings you had."
Astarion,"Of course I did - look at me! I have it all - power, riches, influence. What more could I want?"
Astarion,Bit of a grim mood tonight. Sounds like the others don't relish the thought of sprouting tentacles.
Astarion,"Esteemed company included, I'm sure. I am a man of influence now, after all."
Astarion,"Lae'zel, was that... a joke? Do you need to lie down?"
Astarion,Remember who saved you.
Astarion,"Well of course you did, my sweet. Who wouldn't miss such esteemed company? "
Astarion,"Gale, are you brooding? Because I swear, if you ruin my good mood..."
Astarion,"Now, now, children - let's not lose our heads. Figuratively or literally."
Astarion,"Gale, please. This is not the time to be morosely lost in thought."
Astarion,"Such nobility and self-sacrifice. I thought a mind flayer might have a stronger sense of self-preservation than that, but... well - goodbye. "
Astarion,As long as you're not expecting anyone to follow you... I wish you all the best. Though I have a feeling you'll be just fine. 
Astarion,You wound me - I thought we had something. Two kindred spirits with shared interests in darkness and grief.
Astarion,What do you say? Because I think we've earned it. 
Astarion,"That time locked away in your temple has done you no favours, darling. I've been out in the world, living, and look at me now!"
Astarion,Just like old times.
Astarion,Oh yes? Good for you. I'm sure it's been very emotional and... good.
Astarion,"It's just not especially interesting, that's all. I was really hoping for some sex or violence. You know: something fun."
Astarion,"Yes, that's the spirit! Claiming your place in the world - not letting anyone stand in your way. We're two of a kind, really."
Astarion,"Oh my sweet, so good of you to notice."
Astarion,"I've been living, you see. Sampling every titillation and vice this world has to offer. And it offers a lot."
Astarion,The Grand Duke himself! Come to walk amongst the plebs?
Astarion,"You're a man of power now, Wyll. However you introduce yourself, you will always be the Grand Duke."
Astarion,Shar's greatest apostate. Although you seem to be doing rather well without 'the Lady'.
Astarion,"Well, yes, I suppose I am rather special. I've become a man of some influence since we last spent any quality time together."
Astarion,I'll see your 'reckless abandon' and raise you 'unrestrained hedonism'.
Astarion,"I'm not sure about 'drink in hand', but I think we've all earned some reckless abandon."
Astarion,"If you need a place to recuperate, you're more than welcome to visit my palace. It is rather decadent, you know."
Astarion,"The matriarch of the Sharran temple herself! I'm honoured, your Lossness."
Astarion,"I am a little surprised, I wasn't sure you'd come walk among us who have so much."
Astarion,That doesn't sound especially Sharran of you. But what do I know - I never had much time for gods.
Astarion,But this is not the night to split hairs. It's a night to celebrate our past and toast our future. 
Astarion,Such ambition - you make me look positively humble. 
Astarion,"I can't fault your ambition. I don't know if I'd pick a fight with Mystra myself, but more power to you."
Astarion,"A little demeaning to go running to your god after everything we've achieved, but if that's what it takes to survive... "
